configuration,recall_at_5,hit_at_1,hit_at_3,hit_at_5,mrr
dense_only,0.7659574468085106,0.5957446808510638,0.7446808510638298,0.7659574468085106,0.6765796260477112
hybrid,0.8085106382978723,0.6382978723404256,0.7659574468085106,0.8085106382978723,0.7131205673758865
hybrid_reranked,0.7446808510638298,0.7446808510638298,0.7446808510638298,0.7446808510638298,0.7446808510638298
