config,chunk_count,embedding_time_seconds,recall_at_5,hit_at_1,hit_at_3,hit_at_5,mrr,avg_latency_seconds
section_aware,32,30.253785799999605,0.9574468085106383,0.8297872340425532,0.9148936170212766,0.9574468085106383,0.8840264345583494,0.09916407659558048
fixed_size,108,10.736403099999734,0.7659574468085106,0.6382978723404256,0.7446808510638298,0.7659574468085106,0.6999662276258021,0.10723947446809264
